order_id,order_date,customer_id,cust_type,channel,region,category,product,qty,unit_price,revenue
INV-70016,2025-01-01,C1003,regular,Tokopedia,Jawa Barat,Rumah Tangga,Organizer Laci,2,78000,156000
INV-71101,2025-01-01,C1309,regular,TikTok Shop,Jabodetabek,Makanan,Granola 500g,1,92000,92000
INV-71102,2025-01-01,C1309,regular,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-71176,2025-01-01,C1334,champion,TikTok Shop,Sumatera,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-71062,2025-01-02,C1301,regular,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71377,2025-01-02,C1380,onetime,TikTok Shop,Jabodetabek,Elektronik,Webcam HD,2,210000,420000
INV-70336,2025-01-03,C1093,champion,Shopee,Jabodetabek,Elektronik,Earbuds TWS,4,265000,1060000
INV-70129,2025-01-03,C1038,champion,TikTok Shop,Jawa Barat,Kecantikan,Masker Wajah (5s),4,55000,220000
INV-70988,2025-01-03,C1284,occasional,Offline Store,Jawa Tengah,Fashion,Celana Chino,4,195000,780000
INV-70969,2025-01-04,C1277,onetime,Offline Store,Jabodetabek,Makanan,Granola 500g,4,92000,368000
INV-70326,2025-01-05,C1090,champion,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-71044,2025-01-05,C1295,regular,TikTok Shop,Jabodetabek,Rumah Tangga,Set Wadah Kedap,3,135000,405000
INV-71133,2025-01-05,C1322,loyal,Shopee,Jabodetabek,Elektronik,Power Bank 20K,4,185000,740000
INV-70064,2025-01-05,C1018,onetime,Shopee,Jawa Barat,Elektronik,Webcam HD,1,210000,210000
INV-71079,2025-01-05,C1303,onetime,Shopee,Sumatera,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70870,2025-01-06,C1246,champion,Shopee,Jawa Barat,Elektronik,Keyboard Mekanik,2,380000,760000
INV-70468,2025-01-07,C1133,regular,Tokopedia,Lainnya,Makanan,Granola 500g,3,92000,276000
INV-70058,2025-01-08,C1016,regular,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-70961,2025-01-08,C1273,loyal,TikTok Shop,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70512,2025-01-08,C1142,champion,Offline Store,Lainnya,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-71257,2025-01-08,C1354,onetime,Shopee,Sumatera,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70734,2025-01-09,C1207,loyal,Offline Store,Jabodetabek,Rumah Tangga,Organizer Laci,2,78000,156000
INV-71073,2025-01-09,C1302,champion,Tokopedia,Lainnya,Rumah Tangga,Organizer Laci,1,78000,78000
INV-71367,2025-01-09,C1377,champion,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-71120,2025-01-09,C1313,regular,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70461,2025-01-09,C1131,occasional,TikTok Shop,Jawa Barat,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-71406,2025-01-09,C1388,regular,Tokopedia,Jawa Timur,Fashion,Celana Chino,4,195000,780000
INV-71130,2025-01-09,C1320,occasional,Shopee,Jabodetabek,Elektronik,Earbuds TWS,1,265000,265000
INV-70537,2025-01-10,C1149,loyal,Offline Store,Jawa Barat,Kecantikan,Lip Tint,1,65000,65000
INV-71364,2025-01-10,C1377,champion,Tokopedia,Jawa Timur,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71208,2025-01-10,C1343,regular,Offline Store,Jawa Barat,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70381,2025-01-10,C1110,loyal,Tokopedia,Sumatera,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70868,2025-01-10,C1245,regular,Offline Store,Jabodetabek,Elektronik,Webcam HD,2,210000,420000
INV-70742,2025-01-11,C1207,loyal,Tokopedia,Jabodetabek,Kecantikan,Masker Wajah (5s),3,55000,165000
INV-71291,2025-01-11,C1359,champion,Shopee,Jawa Barat,Rumah Tangga,Diffuser Aroma,1,195000,195000
INV-71563,2025-01-11,C1429,regular,Shopee,Jawa Barat,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70030,2025-01-11,C1006,regular,Shopee,Jawa Tengah,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-71115,2025-01-12,C1312,champion,Shopee,Jawa Tengah,Makanan,Granola 500g,2,92000,184000
INV-71492,2025-01-12,C1411,regular,Shopee,Jawa Barat,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71147,2025-01-13,C1325,regular,Tokopedia,Jawa Tengah,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-70405,2025-01-13,C1112,loyal,Tokopedia,Jabodetabek,Elektronik,Power Bank 20K,1,185000,185000
INV-71544,2025-01-14,C1425,loyal,Shopee,Jawa Tengah,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70181,2025-01-14,C1051,onetime,Offline Store,Jabodetabek,Rumah Tangga,Lampu Meja LED,2,165000,330000
INV-70128,2025-01-15,C1038,champion,Shopee,Jawa Barat,Elektronik,Keyboard Mekanik,2,380000,760000
INV-70416,2025-01-15,C1116,regular,Shopee,Jabodetabek,Rumah Tangga,Organizer Laci,4,78000,312000
INV-71126,2025-01-15,C1317,onetime,Offline Store,Jawa Barat,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70822,2025-01-16,C1232,onetime,Shopee,Jawa Barat,Fashion,Celana Chino,4,195000,780000
INV-70562,2025-01-16,C1154,occasional,Tokopedia,Jabodetabek,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70380,2025-01-16,C1110,loyal,Tokopedia,Sumatera,Rumah Tangga,Diffuser Aroma,1,195000,195000
INV-71378,2025-01-16,C1381,regular,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-70680,2025-01-16,C1186,loyal,Shopee,Sumatera,Rumah Tangga,Set Wadah Kedap,2,135000,270000
INV-70056,2025-01-17,C1016,regular,Shopee,Jawa Timur,Elektronik,Smartwatch,1,450000,450000
INV-70703,2025-01-18,C1195,champion,Shopee,Jabodetabek,Rumah Tangga,Lampu Meja LED,1,165000,165000
INV-70451,2025-01-19,C1129,regular,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),1,55000,55000
INV-71211,2025-01-19,C1344,loyal,TikTok Shop,Jabodetabek,Rumah Tangga,Set Wadah Kedap,4,135000,540000
INV-71217,2025-01-19,C1346,regular,TikTok Shop,Jawa Tengah,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-70514,2025-01-19,C1142,champion,Shopee,Jabodetabek,Makanan,Granola 500g,4,92000,368000
INV-71355,2025-01-19,C1374,onetime,TikTok Shop,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71113,2025-01-20,C1312,champion,TikTok Shop,Jabodetabek,Elektronik,Power Bank 20K,3,185000,555000
INV-70251,2025-01-20,C1072,champion,Shopee,Jawa Barat,Makanan,Granola 500g,2,92000,184000
INV-70234,2025-01-20,C1066,loyal,Tokopedia,Jawa Tengah,Makanan,Granola 500g,2,92000,184000
INV-70852,2025-01-21,C1240,loyal,Shopee,Lainnya,Fashion,Celana Chino,3,195000,585000
INV-70765,2025-01-21,C1215,loyal,Shopee,Jabodetabek,Elektronik,Smartwatch,3,450000,1350000
INV-70959,2025-01-21,C1273,loyal,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-71018,2025-01-22,C1290,loyal,Shopee,Jawa Barat,Makanan,Granola 500g,1,92000,92000
INV-70383,2025-01-22,C1110,loyal,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),3,55000,165000
INV-70629,2025-01-23,C1172,onetime,Shopee,Jabodetabek,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70564,2025-01-24,C1155,onetime,Offline Store,Jabodetabek,Fashion,Dress Casual,1,225000,225000
INV-70348,2025-01-24,C1094,regular,Offline Store,Jawa Timur,Fashion,Celana Chino,2,195000,390000
INV-71474,2025-01-25,C1407,occasional,Tokopedia,Jawa Barat,Rumah Tangga,Set Wadah Kedap,1,135000,135000
INV-70952,2025-01-25,C1271,regular,Shopee,Jabodetabek,Kecantikan,Masker Wajah (5s),2,55000,110000
INV-70238,2025-01-25,C1067,occasional,TikTok Shop,Jawa Timur,Elektronik,Webcam HD,3,210000,630000
INV-70141,2025-01-25,C1040,occasional,Tokopedia,Lainnya,Fashion,Celana Chino,1,195000,195000
